ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION
2437927-20160916,2477691,12322,58,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc.",125 S WACKER DR  210,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2437927,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.880013427,-87.636572385,"(41.88001342713154, -87.63657238450709)"
2298597-20160916,2477676,12322,43,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas (Illinois) LP,10 S RIVERSIDE PLZ 8 850,CHICAGO,IL,60606,42,12,42-12,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2298597,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.881664289,-87.638887444,"(41.881664289382925, -87.63888744408949)"
2179784-20160916,2478940,219897,5,"Cogent Communications, Inc.","Cogent Communications, Inc.",427 S LA SALLE ST  275,CHICAGO,IL,60605,4,49,4-49,1,1010,Limited Business License,,,2179784,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.876216007,-87.631602136,"(41.87621600724368, -87.6316021355216)"
2428456-20160916,2477689,12322,56,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",120 N RACINE AVE N/A,CHICAGO,IL,60607,27,,27-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2428456,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.883611589,-87.656843158,"(41.88361158918275, -87.65684315761544)"
1998937-20160916,2478528,64452,4,"NOMURA SECURITIES INTERNATIONAL, INC.","NOMURA SECURITIES INTERNATIONAL, INC.",1 N WACKER DR 40TH,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1998937,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.881951876,-87.636620349,"(41.88195187648601, -87.63662034940238)"
2216827-20160916,2477551,7072,1,"JAHN ARCHITECTURE, INC.","JAHN ARCHITECTURE, INC.",35 E WACKER DR,CHICAGO,IL,60601,42,9,42-9,1,4404,Regulated Business License,816,Storage or Use of Hazardous Materials,2216827,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,1,41.886831512,-87.626556085,"(41.886831512316874, -87.62655608493642)"
1998528-20160916,2481120,341120,2,"NOMURA AMERICA SERVICES, LLC","NOMURA AMERICA SERVICES, LLC",1 N WACKER DR 40TH,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,1998528,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.881951876,-87.636620349,"(41.88195187648601, -87.63662034940238)"
1841328-20160916,2480535,319733,1,WILSHIRE ASSOCIATES INCORPORATED,WILSHIRE ASSOCIATES INCORPORATED,222 W ADAMS ST  2350,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,,,1841328,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.879487754,-87.634442228,"(41.879487753534356, -87.63444222788623)"
2083499-20160916,2478197,37300,2,TELLURIDE GROUP INC,"TELLURIDE GROUP, INC.",141 W JACKSON BLVD 20TH 2030,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,2083499,RENEW,,07/15/2016,08/31/2016,N,09/16/2016,09/15/2018,08/31/2016,08/31/2016,AAI,,,41.878025655,-87.632062286,"(41.878025655260835, -87.63206228626693)"
1000894-20161016,2485206,201182,1,"Food For Thought Cafe at the Adler, Ltd.",Galileo's,1300 S LAKE SHORE DR,CHICAGO,IL,60605,4,,4-,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1000894,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.865732312,-87.619668637,"(41.865732312266495, -87.61966863731983)"
1970111-20161016,2486198,343364,1,"MINA 4 ENTERPRISE GROUP INC.,",7-ELEVEN #33496C,535 S STATE ST 1ST,CHICAGO,IL,60605,4,49,4-49,1,1006,Retail Food Establishment,775,Retail Sales of Perishable Foods,1970111,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.875010573,-87.627474631,"(41.87501057316559, -87.627474631035)"
2458262-20160831,2458262,405207,1,BACCI PIZZA LITTLE ITALY INC.,BACCI PIZZA,1421 W TAYLOR ST 1ST,CHICAGO,IL,60607,28,38,28-38,12,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2458262,ISSUE,04/04/2016,08/29/2016,07/25/2016,N,08/31/2016,09/15/2018,08/31/2016,08/31/2016,AAI,,,41.86921678,-87.662493891,"(41.86921677973378, -87.66249389074504)"
2418735-20160916,2477686,12322,53,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",224 S MICHIGAN AVE THIRD 320,CHICAGO,IL,60604,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2418735,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.878937382,-87.624483273,"(41.878937382427736, -87.62448327326041)"
1145312-20160416,2448404,66367,1,"SEDGWICK CLAIMS MANAGEMENT SERVICES, INC.","SEDGWICK CLAIMS MANAGEMENT SERVICES, INC.",175 W JACKSON BLVD 700 #,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,1145312,RENEW,,02/15/2016,03/21/2016,N,04/16/2016,04/15/2018,03/21/2016,04/08/2016,AAI,,,41.878014487,-87.63318903,"(41.878014487249544, -87.63318903001444)"
2289006-20160916,2477674,12322,41,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas (Illinois), L.P.",180 N STETSON AVE 21 2175,CHICAGO,IL,60601,42,,42-,,4404,Regulated Business License,757,Residential Real Estate Developer (Home Occ),2289006,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.885367821,-87.622447201,"(41.885367821459624, -87.62244720125689)"
1870247-20160516,2455149,284713,2,"CHINA MEDICINE, INC.",FERTILITY ACUPUNCTURE CENTERS,333 N MICHIGAN AVE 12TH 1212,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1870247,RENEW,,03/15/2016,04/07/2016,N,05/16/2016,05/15/2018,04/07/2016,04/08/2016,AAI,,,41.887542941,-87.624407002,"(41.88754294139151, -87.62440700245574)"
2303665-20160916,2477677,12322,44,"JONES LANG LASALLE AMERICAS, INC.",Jones Lang LaSalle Americas (Illinois) LP,1 N FRANKLIN ST 9 960,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2303665,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.881967467,-87.635165443,"(41.881967467024346, -87.6351654428475)"
51933-20160416,2448276,56932,1,DORMAN TRADING LLC,DORMAN TRADING LLC,141 W JACKSON BLVD  2070,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,51933,RENEW,,02/15/2016,04/07/2016,N,04/16/2016,04/15/2018,04/07/2016,04/08/2016,AAI,,,41.878025655,-87.632062286,"(41.878025655260835, -87.63206228626693)"
2079480-20160416,2447999,32295,2,"KRISTINE FALLON ASSOCIATES, INC.",KFA,11 E ADAMS ST 11TH 1100,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,2079480,RENEW,,02/15/2016,04/07/2016,N,04/16/2016,04/15/2018,04/07/2016,04/08/2016,AAI,,1,41.879385303,-87.627281059,"(41.87938530262081, -87.62728105881872)"
1193404-20160916,2478937,219897,1,"Cogent Communications, Inc.","Cogent Communications, Inc.",221 N LA SALLE ST 30,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1193404,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.886308568,-87.63231876,"(41.886308567767294, -87.63231875970524)"
1845649-20160916,2480569,321402,1,DOWNTOWN PARTNERS COMMUNICATIONS INC.,DOWNTOWN PARTNERS COMMUNICATIONS INC.,200 E RANDOLPH ST 34,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1845649,RENEW,,07/15/2016,08/23/2016,N,09/16/2016,09/15/2018,08/23/2016,08/31/2016,AAI,,,41.884632076,-87.622247991,"(41.8846320757672, -87.6222479910888)"
1902705-20160416,2449768,330274,1,NEW SCHOOLS FOR CHICAGO NFP,NEW SCHOOLS FOR CHICAGO NFP,21 S CLARK ST 43 4301,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,1902705,RENEW,,02/15/2016,04/07/2016,N,04/16/2016,04/15/2018,04/07/2016,04/08/2016,AAI,,,41.881434313,-87.630720377,"(41.88143431313232, -87.63072037749313)"
13599-20160916,2478291,51424,1,SOONWOON CHOI,PARAMOUNT CLEANERS,400 E RANDOLPH ST  2B,CHICAGO,IL,60601,42,6,42-6,1,1010,Limited Business License,648,Dry Cleaning - Drop Off Location,13599,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.884646365,-87.617248496,"(41.8846463654345, -87.61724849623945)"
62705-20160916,2478242,42175,1,CONCIERGE UNLIMITED INTERNATIONAL,CONCIERGE UNLIMITED INTERNATIONAL,20 N WACKER DR,CHICAGO,IL,60606,42,9,42-9,1,1010,Limited Business License,,,62705,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.882410906,-87.63717471,"(41.88241090648542, -87.63717471046387)"
2152685-20160416,2448546,209426,3,"THE CABET GROUP, INCORPORATED","The CABET Group, Inc",228 S WABASH AVE 6 600,CHICAGO,IL,60604,42,,42-,,1010,Limited Business License,,,2152685,RENEW,,02/15/2016,04/08/2016,N,04/16/2016,04/15/2018,04/08/2016,04/11/2016,AAI,,1,41.878812163,-87.626247206,"(41.878812162577766, -87.62624720633796)"
1992318-20160916,2477666,12322,29,"JONES LANG LASALLE AMERICAS, INC.","JONES LANG LASALLE AMERICAS, INC.",77 W WACKER DR 6TH 640,CHICAGO,IL,60601,42,9,42-9,1,1010,Limited Business License,,,1992318,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.886707738,-87.630794578,"(41.88670773797291, -87.6307945777937)"
1879446-20161016,2484848,34349,2,WILLIAM HARRIS LEE & CO,WILLIAM HARRIS LEE,410 S MICHIGAN AVE  560,CHICAGO,IL,60605,42,49,42-49,1,1009,Manufacturing Establishments,929,Miscellaneous Manufacturing,1879446,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.876707652,-87.62442948,"(41.87670765183466, -87.62442947950342)"
2294274-20160916,2481467,355435,2,United Investments of illinois Inc.,G Skin & Beauty Institute,17 N STATE ST 4 400,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,708,Miscellaneous Commercial Services,2294274,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,1,41.882456647,-87.627700047,"(41.8824566469275, -87.62770004682694)"
1046172-20160916,2477659,12322,2,"JONES LANG LASALLE AMERICAS, INC.",JONES LANG LASALLE AMERICAS INC,440 S LA SALLE ST,CHICAGO,IL,60605,4,49,4-49,1,1010,Limited Business License,,,1046172,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.87588847,-87.631884721,"(41.87588847004054, -87.63188472119873)"
1843494-20160916,2480542,320580,1,KETCHUM CORPORATE TECHNOLOGY COMMUNICATION INC,KETCHUM CORPORATE TECHNOLOGY COMMUNICATION INC,200 E RANDOLPH ST 36TH,CHICAGO,IL,60601,42,44,42-44,1,1010,Limited Business License,,,1843494,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.884632076,-87.622247991,"(41.8846320757672, -87.6222479910888)"
1677234-20160916,2479229,252885,3,"JOHN E. REID AND ASSOCIATES, INC.","JOHN E. REID AND ASSOCIATES, INC.",209 W JACKSON BLVD  400,CHICAGO,IL,60606,42,49,42-49,1,1010,Limited Business License,,,1677234,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.878006063,-87.634022032,"(41.87800606262711, -87.63402203216754)"
1879638-20161016,2485987,325151,1,DAN COSGROVE,DAN COSGROVE DESIGN,410 S MICHIGAN AVE 7TH 609,CHICAGO,IL,60605,42,49,42-49,1,1010,Limited Business License,,,1879638,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.876707652,-87.62442948,"(41.87670765183466, -87.62442947950342)"
1476166-20160916,2478881,207412,19,BUCK MANAGEMENT GROUP LLC,BUCK MANAGEMENT GROUP LLC,333 S WABASH AVE 3RD,CHICAGO,IL,60604,42,49,42-49,1,1010,Limited Business License,,,1476166,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.877450405,-87.625921976,"(41.87745040460004, -87.62592197642603)"
2245359-20160916,2477671,12322,38,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc.",111 W JACKSON BLVD 12 1200,CHICAGO,IL,60604,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2245359,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.878034428,-87.631171407,"(41.87803442833617, -87.63117140697915)"
2147737-20160416,2448232,53917,2,BONG HYOUN PARK,CHICAGO CAMERA SPECIALISTS,5 S WABASH AVE 10 1017,CHICAGO,IL,60603,42,9,42-9,1,1010,Limited Business License,,,2147737,RENEW,,02/15/2016,03/30/2016,N,04/16/2016,04/15/2018,03/30/2016,03/30/2016,AAI,,,41.881921563,-87.62606306,"(41.88192156256051, -87.62606305984501)"
1000895-20161016,2485205,201182,1,"Food For Thought Cafe at the Adler, Ltd.",Galileo's,1300 S LAKE SHORE DR,CHICAGO,IL,60605,4,,4-,1,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,1000895,RENEW,,08/15/2016,08/30/2016,N,10/16/2016,10/15/2018,08/30/2016,08/31/2016,AAI,,,41.865732312,-87.619668637,"(41.865732312266495, -87.61966863731983)"
2320162-20160916,2477860,17159,3,"ZACKS INVESTMENT RESEARCH, INC.","Zacks Investment Research, Inc.",10 S RIVERSIDE PLZ 16 1600,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,897,Financial Services,2320162,RENEW,,07/15/2016,08/23/2016,N,09/16/2016,09/15/2018,08/23/2016,08/31/2016,AAI,,,41.881664289,-87.638887444,"(41.881664289382925, -87.63888744408949)"
1193312-20160916,2478936,219854,1,COMTEK INTERNATIONAL INC,COMTEK INTERNATIONAL INC,111 N CANAL ST  111,CHICAGO,IL,60606,42,21,42-21,1,1010,Limited Business License,,,1193312,RENEW,,07/15/2016,08/02/2016,N,09/16/2016,09/15/2018,08/02/2016,08/03/2016,AAI,,,41.883565313,-87.639637284,"(41.88356531275924, -87.63963728368087)"
2418732-20160916,2477685,12322,52,"JONES LANG LASALLE AMERICAS, INC.","Jones Lang LaSalle Americas, Inc",20 N WACKER DR 34 3410,CHICAGO,IL,60606,42,,42-,,1010,Limited Business License,708,Miscellaneous Commercial Services,2418732,RENEW,,07/15/2016,08/30/2016,N,09/16/2016,09/15/2018,08/30/2016,08/31/2016,AAI,,,41.882410906,-87.63717471,"(41.88241090648542, -87.63717471046387)"
